UniprotID_inString,brite
P16150,CD molecules
Q9BRQ0,none
Q15386,Ubiquitin system
O00418,Protein kinases
Q16566,Protein kinases
Q15646,none
Q9Y2L9,none
Q86UA1,Spliceosome
O75533,Spliceosome
Q9Y2L9,none
Q9Y6Q5,Membrane trafficking
P08758,Exosome
P16885,Membrane trafficking
Q10588,CD molecules
Q6UX71,none
Q9UIV1,Messenger RNA biogenesis
not found,#N/A
A3KN83,Chromosome and associated proteins
O00423,Cytoskeleton proteins
Q9H939,Membrane trafficking
Q9BTE1,Chromosome and associated proteins
P29728,Enzymes
Q9NWS8,Mitochondrial biogenesis
Q8N1F7,Messenger RNA biogenesis
Q14781,Chromosome and associated proteins
P51688,Enzymes
P23246,Protein phosphatases and associated proteins
P61978,Spliceosome
Q9Y3B4,Spliceosome
Q9Y625,Proteoglycans
Q9Y250,none
Q13485,none
P06280,Enzymes
Q9UKF6,Transcription machinery
not found,#N/A
Q6IQ23,Domain-containing proteins not elsewhere classified
Q9Y478,none
Q07955,Spliceosome
Q9NWS8,Mitochondrial biogenesis
Q13485,none
P09661,Spliceosome
O75643,Spliceosome
O15042,Spliceosome
O75911,Enzymes
O75400,Spliceosome
not found,#N/A
not found,#N/A
Q8IWX8,Spliceosome
not found,#N/A
P62899,Ribosome
O75533,Spliceosome
P05388,Ribosome
Q13435,Spliceosome
Q9Y224,Transfer RNA biogenesis
O75400,Spliceosome
P62917,Ribosome
Q9H788,Protein phosphatases and associated proteins
Q07955,Spliceosome
P62316,Spliceosome
not found,#N/A
P62906,Ribosome
Q15233,Spliceosome
O43824,none
Q86UA1,Spliceosome
P46777,Protein phosphatases and associated proteins
not found,#N/A
Q9H6H4,none
Q8IXJ6,Chromosome and associated proteins
Q9BV23,Peptidases and inhibitors
P32969,Ribosome
Q96HP4,none
P04035,Enzymes
P14317,Membrane trafficking
Q15393,Transcription machinery
O95825,none
P46776,Ribosome
P68400,Protein kinases
Q9NWS8,Mitochondrial biogenesis
A0AV96,Domain-containing proteins not elsewhere classified
P49207,Ribosome
P30050,Ribosome
P27635,Ribosome
Q9Y6A4,Cilium and associated proteins
Q92618,Transcription factors
Q86YH6,Prenyltransferases
P56937,Enzymes
Q15029,Spliceosome
not found,#N/A
O75643,Spliceosome
P26373,Ribosome
not found,#N/A
P62829,Ribosome
O75643,Spliceosome
Q9P2I0,Messenger RNA biogenesis
Q9P2I0,Messenger RNA biogenesis
P62829,Ribosome
Q9NWS8,Mitochondrial biogenesis
P62304,Messenger RNA biogenesis
not found,#N/A
P29728,Enzymes
P16383,Transcription factors
Q9NWS8,Mitochondrial biogenesis
Q96MX3,none
Q9P206,none
P62906,Ribosome
P18621,Ribosome
Q9NWS8,Mitochondrial biogenesis
Q15365,Messenger RNA biogenesis
not found,#N/A
P62750,Ribosome
P62701,Ribosome
Q6PJG6,DNA repair and recombination proteins
Q6SZW1,none
O75436,Membrane trafficking
O15047,Chromosome and associated proteins
Q5RKV6,Messenger RNA biogenesis
Q86YB8,Enzymes
P18283,Enzymes
Q9Y6Q5,Membrane trafficking
P62753,Ribosome
P62888,Ribosome
O96019,Transcription machinery
Q8N5N7,Ribosome
P62899,Ribosome
P26373,Ribosome
Q2TAY7,Spliceosome
Q9Y3U8,Ribosome
P28331,Enzymes
P46782,Ribosome
Q96EP5,Messenger RNA biogenesis
Q13123,Spliceosome
P62753,Ribosome
P16383,Transcription factors
Q9H4A6,Membrane trafficking
Q8TB22,none
Q92900,Messenger RNA biogenesis
P46779,Ribosome
P46782,Ribosome
Q15388,Mitochondrial biogenesis
not found,#N/A
P51636,Membrane trafficking
Q9HCM4,Domain-containing proteins not elsewhere classified
Q16630,Messenger RNA biogenesis
Q8NCH0,Glycosyltransferases
Q08211,Spliceosome
Q8IY26,Enzymes
P56937,Enzymes
O95825,none
not found,#N/A
Q9NXR7,Ubiquitin system
Q9NZB2,none
Q13188,Protein kinases
Q9NWS8,Mitochondrial biogenesis
P18283,Enzymes
Q9BQS8,Membrane trafficking
O15357,Membrane trafficking
P19404,Enzymes
Q16629,Spliceosome
not found,#N/A
O43172,Spliceosome
P59780,Membrane trafficking
P35232,Mitochondrial biogenesis
P17252,Protein kinases
P62714,Protein phosphatases and associated proteins
P09012,Spliceosome
Q06124,Protein phosphatases and associated proteins
P62854,Ribosome
Q13136,Membrane trafficking
Q9Y3U8,Ribosome
O15541,Spliceosome
P62851,Ribosome
Q14192,Domain-containing proteins not elsewhere classified
P46778,Ribosome
Q9H8Y5,Ribosome biogenesis
Q12768,Membrane trafficking
Q9Y4B6,Protein kinases
Q8IYB3,Messenger RNA biogenesis
not found,#N/A
Q9H307,Messenger RNA biogenesis
P62081,Ribosome
O43290,Spliceosome
Q13247,Spliceosome
Q9UD71,Protein phosphatases and associated proteins
P26196,Messenger RNA biogenesis
P84103,Spliceosome
P62906,Ribosome
Q13113,none
Q07020,Ribosome
P62910,Ribosome
P61158,Membrane trafficking
P61964,Chromosome and associated proteins
Q9Y3I0,Transfer RNA biogenesis
Q92538,Membrane trafficking
O75643,Spliceosome
P23508,none
P14866,Spliceosome
P62140,Protein phosphatases and associated proteins
not found,#N/A
Q8IWA4,Mitochondrial biogenesis
Q14677,Membrane trafficking
P62913,Ribosome
P62750,Ribosome
not found,#N/A
Q9UHX1,Spliceosome
P63000,Membrane trafficking
P62241,Ribosome
not found,#N/A
Q9BV23,Peptidases and inhibitors
Q92769,Chromosome and associated proteins
O94763,Protein phosphatases and associated proteins
P55735,Messenger RNA biogenesis
O96019,Transcription machinery
Q14197,Translation factors
P00813,Enzymes
Q9UHX1,Spliceosome
Q9H2P0,Transcription factors
P09661,Spliceosome
P49821,Enzymes
Q13573,Spliceosome
Q53H12,Enzymes
Q9NPA8,Transcription machinery
Q9P0M9,Ribosome
Q13435,Spliceosome
Q9BUQ8,Spliceosome
Q8N4X5,Domain-containing proteins not elsewhere classified
P61247,Ribosome
P62993,Membrane trafficking
Q86XP3,Spliceosome
Q96DI7,Spliceosome
Q02750,Protein kinases
Q96DI7,Spliceosome
Q9P206,none
Q9Y6W5,Cytoskeleton proteins
Q9UKF6,Transcription machinery
Q09666,none
not found,#N/A
Q96GG9,Ubiquitin system
Q00839,Spliceosome
Q53H12,Enzymes
not found,#N/A
Q6PL18,Enzymes
P62263,Ribosome
Q92615,Messenger RNA biogenesis
P09661,Spliceosome
P29144,Peptidases and inhibitors
Q15428,Spliceosome
O96000,none
Q2TAY7,Spliceosome
