ID	drug_name	GDSC	drug_id	protein	x_id	target	beta	fdr	nc_fdr	nc_beta	ppi	r2	tissue	p_corr_protein	p_pval_protein	corr_diff	counts	skew	cancer_gene
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	PKCB1_HUMAN	ZMYND8	BCL2	-0,293934261	0,267642039	0,000863387	-0,376250717	4	0,750148631	Lung	-0,268866095	0,000408345	0,237124295	169	-1,562840054	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	UBC9_HUMAN	UBE2I	BCL2	-0,187011921	0,41270313	7,14E-06	-0,389592354	2	0,750148631	Bone	-0,340952362	0,036189799	0,306886508	38	-1,562840054	FALSE
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	UBP2L_HUMAN	UBAP2L	"EGFR;ERBB2"	-0,032235631	0,951260446	6,79E-05	0,296786596	-	0,643925693	Kidney	-0,55414766	0,001486427	0,375590117	30	-1,662421068	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SAE2_HUMAN	UBA2	BCL2	-0,203645923	0,267642039	2,38E-07	-0,364114357	3	0,750148631	Bone	-0,378269136	0,017576913	0,158966717	39	-1,562840054	FALSE
1982	PLK4_0066	GDSC2	"1982;PLK4_0066;GDSC2"	SAE2_HUMAN	UBA2	PLK4	-0,220639609	0,25847232	0,000881844	-0,273471723	3	0,681746929	Large Intestine	-0,339317743	0,042912051	0,307060889	36	-1,243934668	FALSE
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	TXD12_HUMAN	TXNDC12	"BIRC2;BIRC3;XIAP"	-0,350041877	0,071388388	0,000409726	-0,417143958	-	0,579682112	Bone	-0,402004764	0,013647158	0,238349422	37	-1,084352179	FALSE
1982	PLK4_0066	GDSC2	"1982;PLK4_0066;GDSC2"	TIF1B_HUMAN	TRIM28	PLK4	-0,267961423	0,315579928	0,000806601	-0,374886969	3	0,681746929	Bone	-0,663188715	3,52E-05	0,416023089	32	-1,243934668	FALSE
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	TPR_HUMAN	TPR	"BIRC2;BIRC3;XIAP"	-0,55119777	0,032423855	0,00308103	-0,614323403	-	0,579682112	Skin	-0,417120599	0,00170192	0,356371675	54	-1,084352179	FALSE
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	TM9S2_HUMAN	TM9SF2	"EGFR;ERBB2"	-0,177226364	0,79586091	0,000126028	-0,502067175	-	0,643925693	Esophagus	-0,427296239	0,018515157	0,201226128	30	-1,662421068	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	TCEA1_HUMAN	TCEA1	BCL2	-0,144251974	0,490533647	0,000975266	-0,271068439	2	0,750148631	Stomach	-0,396025208	0,04520244	0,273430209	26	-1,562840054	FALSE
1061	SB590885	GDSC2	"1061;SB590885;GDSC2"	TBCA_HUMAN	TBCA	BRAF	-0,016856444	0,89693463	6,28E-05	-0,159974942	3	0,59266103	Skin	-0,266368519	0,056292961	0,217539952	52	-1,013673138	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	TALDO_HUMAN	TALDO1	BRAF	-0,100354268	0,618395029	0,000425291	-0,226554709	3	0,495096161	Skin	-0,273654969	0,072264356	0,158396835	44	-1,809260826	FALSE
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	SUCA_HUMAN	SUCLG1	"EGFR;ERBB2"	-0,106445809	0,873803701	0,000185754	-0,407845796	-	0,643925693	Kidney	-0,397851457	0,029457538	0,378524558	30	-1,662421068	FALSE
2022	PF-06747775	GDSC2	"2022;PF-06747775;GDSC2"	STX6_HUMAN	STX6	EGFR	-0,152319848	0,63570144	0,000159649	-0,34599858	2	0,507920431	Esophagus	-0,462852691	0,011459977	0,264287641	29	-1,179659171	FALSE
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	STIM1_HUMAN	STIM1	"EGFR;ERBB2"	-0,063179139	0,921281134	5,77E-05	-0,318601259	-	0,643925693	Head and Neck	-0,333994356	0,043351286	0,162484156	37	-1,662421068	FALSE
