ID	drug_name	GDSC	y_id	x_id	n	beta	pval	fdr	nc_beta	nc_pval	nc_fdr	r2	target	ppi	skew	cancer_gene	UniprotID_inString
2293	AMG900	GDSC2	"2293;AMG900;GDSC2"	SPN	61	1,398757265	1,54297E-05	0,079200754	0,67154098	0,001368895	0,068626177	0,574973486	"AURKA;AURKB;AURKC"	-	-1,069289354	FALSE	P16150
428	Pemetrexed	GDSC1	"428;Pemetrexed;GDSC1"	PYGO2	65	1,093978727	0,000124283	0,080144072	0,807799546	0,006576744	0,13653215	0,692758139	TYMS	3	-1,075229656	FALSE	Q9BRQ0
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	UBE3C	81	1,021380987	0,001897872	0,041159447	0,715483823	0,02480036	0,104058654	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q15386
1218	JQ1	GDSC1	"1218;JQ1;GDSC1"	EEF2K	85	0,984401462	6,71483E-06	0,036609274	0,701626633	0,00037682	0,342403564	0,490029921	"BRD2;BRD3;BRD4;BRDT"	-	-1,589617527	FALSE	O00418
1997	WEHI-539	GDSC2	"1997;WEHI-539;GDSC2"	CAMK4	107	0,981335743	0,001455225	0,075885888	0,380968746	0,218905265	0,519665328	0,462995294	BCL2L1	3	-1,109626773	FALSE	Q16566
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	OASL	65	0,928070343	0,007132024	0,082198836	0,695768108	0,040811365	0,148634991	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q15646
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	LRCH1	79	0,915392286	0,000483482	0,019279285	0,518191726	0,042478641	0,152778464	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q9Y2L9
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	PRPF39	72	0,871091634	2,9173E-05	0,039850336	0,948519205	1,89556E-05	0,000162851	0,643925693	"EGFR;ERBB2"	-	-1,662421068	FALSE	Q86UA1
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	SF3B1	903	0,863488056	4,06745E-05	0,037420563	1,424177532	4,19006E-10	3,40135E-08	0,591585105	BRAF	3	-1,457742709	TRUE	O75533
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	LRCH1	79	0,832886149	0,000103	0,024404639	0,555641533	0,007465439	0,04466195	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	Q9Y2L9
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	AP1M2	222	0,817225401	5,753E-05	0,008494232	0,748645399	5,16278E-05	0,000959328	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q9Y6Q5
2323	A-1155463	GDSC2	"2323;A-1155463;GDSC2"	ANXA5	548	0,133598779	0,029273659	0,428496758	0,168043443	3,29692E-06	0,000724635	0,423624682	BCL2L1	2	-1,211283537	FALSE	P08758
1997	WEHI-539	GDSC2	"1997;WEHI-539;GDSC2"	PLCG2	130	0,772724824	4,7065E-06	0,005211035	0,399271057	0,001350888	0,029303133	0,462995294	BCL2L1	3	-1,109626773	FALSE	P16885
1997	WEHI-539	GDSC2	"1997;WEHI-539;GDSC2"	BST1	70	0,762744932	0,00105096	0,063935301	0,58527317	0,000668531	0,018625167	0,462995294	BCL2L1	3	-1,109626773	FALSE	Q10588
1997	WEHI-539	GDSC2	"1997;WEHI-539;GDSC2"	PLXDC2	114	0,750124226	2,92798E-05	0,01246868	0,444864367	0,002581005	0,043964435	0,462995294	BCL2L1	-	-1,109626773	FALSE	Q6UX71
2323	A-1155463	GDSC2	"2323;A-1155463;GDSC2"	CNOT7	115	0,808714781	7,73995E-05	0,083412051	0,50560554	0,011695454	0,129423041	0,423624682	BCL2L1	2	-1,211283537	FALSE	Q9UIV1
1997	WEHI-539	GDSC2	"1997;WEHI-539;GDSC2"	PREX1	103	0,735649588	0,000613733	0,049995683	0,147534811	0,531096123	0,783204086	0,462995294	BCL2L1	3	-1,109626773	FALSE	not found
2309	AC220	GDSC2	"2309;AC220;GDSC2"	SBNO1	67	0,7353981	7,02956E-05	0,025925449	0,61520653	0,000279133	0,077695882	0,505922345	FLT3	-	-1,284486656	FALSE	A3KN83
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	EML1	68	0,716702397	0,000749947	0,025289891	0,508920874	0,015224616	0,074593792	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	O00423
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	PSTPIP2	66	0,709249513	0,005633625	0,073103304	0,84485965	0,000536736	0,005760687	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q9H939
1078	Imatinib	GDSC2	"1078;Imatinib;GDSC2"	DCTN5	67	0,701070278	2,09612E-05	0,015541252	0,652772572	3,20543E-05	0,043541961	0,584780651	"ABL1;KIT;PDGFRA"	-	-1,969494299	FALSE	Q9BTE1
