taxa1	taxa2	rhoCut
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;AD3	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Latescibacterota;Latescibacteria	-1
Archaea;Archaea;Thermoplasmatota;Thermoplasmata	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Acidobacteriota;Subgroup 25	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 11	Bacteria;Bacteria;Planctomycetota;BD7-11	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Latescibacterota;Latescibacteria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Acidobacteriota;Subgroup 25	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Actinobacteriota;Actinobacteria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Actinobacteriota;MB-A2-108	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Actinobacteriota;Rubrobacteria	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;TK10	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Cyanobacteria;Sericytochromatia	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	-1
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Planctomycetota;Pla3 lineage	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Chloroflexi;AD3	-1
