taxa1	taxa2
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;AD3
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Chloroflexi;Dehalococcoidia
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Dependentiae;Babeliae
Archaea;Archaea;Crenarchaeota;Nitrososphaeria	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Archaea;Archaea;Thermoplasmatota;Thermoplasmata	Bacteria;Bacteria;Dependentiae;Babeliae
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae	Bacteria;Bacteria;Acidobacteriota;Subgroup 25
Bacteria;Bacteria;Acidobacteriota;Subgroup 11	Bacteria;Bacteria;Planctomycetota;BD7-11
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Acidobacteriota;Subgroup 25	Bacteria;Bacteria;Latescibacterota;Latescibacteria
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Acidobacteriota;Subgroup 25
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Actinobacteriota;Actinobacteria
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Actinobacteriota;MB-A2-108
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Actinobacteriota;Rubrobacteria
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;SHA-26
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Chloroflexi;TK10
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Cyanobacteria;Sericytochromatia
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Methylomirabilota;Methylomirabilia
Bacteria;Bacteria;Acidobacteriota;Subgroup 5	Bacteria;Bacteria;Planctomycetota;Pla3 lineage
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Bacteroidota;Kapabacteria
Bacteria;Bacteria;Actinobacteriota;Actinobacteria	Bacteria;Bacteria;Chloroflexi;AD3
