nodeID,median,taxa,nodeName
Bacteria;Bacteria;Bacteroidota;Bacteroidia,1028.55357142857,Bacteroidota,Bacteroidia
Bacteria;Bacteria;Chloroflexi;Chloroflexia,1524.85714285714,Chloroflexi,Chloroflexia
Bacteria;Bacteria;Chloroflexi;Ktedonobacteria,259.178571428571,Chloroflexi,Ktedonobacteria
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria,9775.19642857143,Proteobacteria,Alphaproteobacteria
Bacteria;Bacteria;Acidobacteriota;Acidobacteriae,1376.96428571428,Acidobacteriota,Acidobacteriae
Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria,5851.17857142857,Acidobacteriota,Vicinamibacteria
Bacteria;Bacteria;Gemmatimonadota;Gemmatimonadetes,2136.89285714286,Gemmatimonadota,Gemmatimonadetes
Bacteria;Bacteria;Verrucomicrobiota;Chlamydiae,0,Verrucomicrobiota,Chlamydiae
Bacteria;Bacteria;Actinobacteriota;Thermoleophilia,13777.6785714286,Actinobacteriota,Thermoleophilia
Bacteria;Bacteria;Chloroflexi;KD4-96,1199.83928571428,Chloroflexi,KD4-96
Bacteria;Bacteria;Planctomycetota;Phycisphaerae,568.178571428571,Planctomycetota,Phycisphaerae
Bacteria;Bacteria;Entotheonellaeota;Entotheonellia,381.142857142857,Entotheonellaeota,Entotheonellia
Bacteria;Bacteria;Acidobacteriota;Subgroup 5,428.285714285715,Acidobacteriota,Subgroup 5
Bacteria;Bacteria;Patescibacteria;Saccharimonadia,47.6607142857143,Patescibacteria,Saccharimonadia
Bacteria;Bacteria;Myxococcota;Polyangia,1406.28571428571,Myxococcota,Polyangia
Bacteria;Bacteria;Bdellovibrionota;Oligoflexia,4.71428571428572,Bdellovibrionota,Oligoflexia
Bacteria;Bacteria;Planctomycetota;Pla4 lineage,14.6696428571429,Planctomycetota,Pla4 lineage
Bacteria;Bacteria;Verrucomicrobiota;Verrucomicrobiae,2877.76785714286,Verrucomicrobiota,Verrucomicrobiae
Bacteria;Bacteria;Firmicutes;Clostridia,399.321428571428,Firmicutes,Clostridia
Bacteria;Bacteria;Acidobacteriota;Blastocatellia,2136.89285714286,Acidobacteriota,Blastocatellia
Bacteria;Bacteria;Actinobacteriota;Actinobacteria,9775.19642857143,Actinobacteriota,Actinobacteria
Bacteria;Bacteria;Proteobacteria;Gammaproteobacteria,3549.53571428571,Proteobacteria,Gammaproteobacteria
Bacteria;Bacteria;Firmicutes;Bacilli,2838.53571428571,Firmicutes,Bacilli
Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia,1573.07142857143,Actinobacteriota,Acidimicrobiia
