nodeID,drug_name,x_id,cancer_gene,brite,mySamplingNumber,
A0A087WYR3,Dabrafenib,TPD52L2,FALSE,none,1,
A0A0C4DGU3,Venetoclax,HM13,FALSE,none,76,
A0AV96,WEHI-539,RBM47,FALSE,Domain-containing proteins not elsewhere classified,83,
A1L0T0,AC220;Savolitinib,ILVBL,FALSE,Enzymes,70,
A3KMH1,Afatinib;PF-06747775,VWA8,FALSE,Domain-containing proteins not elsewhere classified,3,
A3KN83,AC220,SBNO1,FALSE,Chromosome and associated proteins,63,
A5YKK6,Afatinib;Venetoclax;AZD5582,CNOT1,TRUE,Messenger RNA biogenesis,92,
A6NHR9,Venetoclax,SMCHD1,FALSE,Chromosome and associated proteins,74,
C9J0E9,Afatinib;Savolitinib,PSMD6,FALSE,none,56,
C9J9W1,SB590885;GDC-0879;Dabrafenib;PLX-4720,IL1RAP,FALSE,none,51,
C9JLW8,AC220;Afatinib,MCRIP1,FALSE,none,21,
C9JNT3,Afatinib;PF-06747775;Savolitinib,GSTK1,FALSE,none,57,
D3YTI2,Afatinib;IAP_5620;AZD5582;TGX221;SB590885;IAP_7638;Crizotinib,ACP1,FALSE,none,89,
E9PAV3,Afatinib;AZD5582;PLX-4720;WEHI-539;Crizotinib,NACA,FALSE,none,65,
G3V4M1,PF-06747775;Dabrafenib;PLX-4720,MIA2,FALSE,none,23,
H0Y4K8,Afatinib;GSK269962A;TGX221;PF-06747775;GSK429286A,FN1,TRUE,none,87,
H0Y6T8,SB590885;Dabrafenib,RAB18,FALSE,none,91,
H0YCD9,Afatinib;Dabrafenib;PF-06747775,CTTN,FALSE,none,6,
H0YKX5,WH-4-023;TGX221,TPM1,FALSE,none,72,
J3QKM9,Afatinib;IAP_5620;IAP_7638;AZD5582,VAPA,FALSE,none,1,
K7ENT6,Afatinib;AZD5582;TGX221;IAP_7638;GSK429286A,TPM4,FALSE,none,1,
O00116,SB590885;Afatinib,AGPS,FALSE,Enzymes,14,
O00139,Afatinib;TGX221,KIF2A,FALSE,Chromosome and associated proteins,86,
O00151,SB590885;IAP_7638;AZD5582,PDLIM1,FALSE,Domain-containing proteins not elsewhere classified,9,
O00159,GDC-0879;WH-4-023;Savolitinib;AZD5582;TGX221;Venetoclax;SB590885;Crizotinib,MYO1C,FALSE,Protein phosphatases and associated proteins,93,
O00161,BIX-02188,SNAP23,FALSE,Membrane trafficking,81,
O00165,Ponatinib,HAX1,FALSE,Messenger RNA biogenesis,73,
O00170,GDC-0879,AIP,FALSE,Mitochondrial biogenesis,2,
O00178,SB590885;Afatinib;Lapatinib;Venetoclax,GTPBP1,FALSE,Messenger RNA biogenesis,98,
O00186,SB590885;Ara-G,STXBP3,FALSE,Membrane trafficking,4,
O00203,Dabrafenib;Savolitinib,AP3B1,FALSE,Membrane trafficking,11,
O00217,SB590885;WEHI-539;PF-06747775,NDUFS8,FALSE,Enzymes,40,
O00231,Afatinib;LIMK1 inhibitor BMS4;Savolitinib,PSMD11,FALSE,Proteasome,67,
O00232,Afatinib;PF-06747775;LIMK1 inhibitor BMS4,PSMD12,FALSE,Proteasome,99,
O00233,Afatinib;IAP_7638;AZD5582,PSMD9,FALSE,Proteasome,17,
O00244,GDC-0879;PLX-4720;Dabrafenib;SB590885;LIMK1 inhibitor BMS4,ATOX1,FALSE,none,96,
O00264,SB590885;Dabrafenib;PF-06747775,PGRMC1,FALSE,Exosome,68,
O00273,Savolitinib,DFFA,FALSE,none,57,
O00299,Afatinib;LIMK1 inhibitor BMS4;Dabrafenib;PLX-4720,CLIC1,FALSE,Exosome,49,
O00303,Afatinib;AZD5582;PLX-4720;Dabrafenib;PF-06747775,EIF3F,FALSE,Translation factors,9,
O00330,PF-06747775,PDHX,FALSE,none,89,
O00401,SB590885;GDC-0879;Dabrafenib;PLX-4720,WASL,FALSE,Membrane trafficking,43,
O00410,Afatinib;PF-06747775;GSK429286A,IPO5,FALSE,Ribosome biogenesis,16,
O00418,JQ1,EEF2K,FALSE,Protein kinases,36,
O00422,Dabrafenib;PLX-4720,SAP18,FALSE,Messenger RNA biogenesis,60,
O00423,AZD5582,EML1,FALSE,Cytoskeleton proteins,5,
O00442,Afatinib;PF-06747775,RTCA,FALSE,Enzymes,63,
O00443,Ruxolitinib,PIK3C2A,FALSE,Enzymes,5,
O00469,GSK269962A;TGX221;PF-06747775;SB590885;GSK429286A,PLOD2,FALSE,Enzymes,48,
O00483,WEHI-539;Nilotinib,NDUFA4,FALSE,none,44,
O00487,Afatinib;PLX-4720;Dabrafenib;PF-06747775;LIMK1 inhibitor BMS4,PSMD14,FALSE,Peptidases and inhibitors,91,
O00515,Afatinib,LAD1,FALSE,none,62,
O00534,Nilotinib,VWA5A,FALSE,Domain-containing proteins not elsewhere classified,29,
O00541,SB590885,100 PES,FALSE,Ribosome biogenesis,88
O00560,SB590885;GDC-0879;Dabrafenib;PLX-4720,SDCBP,FALSE,Exosome,76,
O00567,SB590885;Savolitinib,NOP56,FALSE,Ribosome biogenesis,14,
O00571,Afatinib;AZD5582,DDX3X,TRUE,Messenger RNA biogenesis,65,
O00592,SB590885,PODXL,FALSE,none,57,
O00625,SB590885;GDC-0879;Dabrafenib;PLX-4720,PIR,FALSE,Enzymes,10,
O00629,PD173074;Savolitinib,KPNA4,FALSE,none,71,
O00754,WEHI-539;Dabrafenib,MAN2B1,FALSE,Enzymes,86,
O14578,Dabrafenib;PLX-4720,CIT,FALSE,Protein kinases,57,
O14579,Afatinib,COPE,FALSE,Membrane trafficking,68,
O14617,Afatinib;Savolitinib,AP3D1,FALSE,Membrane trafficking,68,
O14656,SB590885;GDC-0879,TOR1A,FALSE,Chaperones and folding catalysts,81,
O14672,Afatinib,ADAM10,FALSE,Peptidases and inhibitors,67,
O14681,Afatinib,EI24,FALSE,none,50,
O14686,Dabrafenib,KMT2D,TRUE,Chromosome and associated proteins,36,
O14737,Afatinib;Savolitinib,PDCD5,FALSE,none,100,
