nodeID;display name;name;shared name;canonical name;database identifier;description;node type;species;keggID;BRITEClass;number_of_nodes;number_of_edges;average_degree;degree_1_alters;degree_2_alters
148592;iroK;511145.b4706;511145.b4706;;511145.b4706;3-hydroxypropionic acid resistance peptide, Completely contained in another CDS;protein;Escherichia coli K12;#NV;;15.0;46.0;3.066666666666667;2.0;12.0
155483;insA-3;511145.b0275;511145.b0275;;511145.b0275;IS1 repressor TnpA;protein;Escherichia coli K12;#NV;;13.0;56.0;4.3076923076923075;7.0;5.0
155486;insE1-2;511145.b0373;511145.b0373;;511145.b0373;IS3 transposase A;protein;Escherichia coli K12;#NV;;4.0;4.0;1.0;1.0;2.0
155489;insF1-3;511145.b0541;511145.b0541;;511145.b0541;IS3 transposase B;protein;Escherichia coli K12;#NV;;8.0;9.0;1.125;4.0;3.0
155492;insL1-2;511145.b0582;511145.b0582;;511145.b0582;IS186 transposase;protein;Escherichia coli K12;#NV;;6.0;5.0;0.8333333333333334;1.0;4.0
155495;insH1-3;511145.b0656;511145.b0656;;511145.b0656;IS5 transposase and trans-activator;protein;Escherichia coli K12;#NV;;5.0;6.0;1.2;1.0;3.0
155498;insF1-4;511145.b1026;511145.b1026;;511145.b1026;IS3 transposase B;protein;Escherichia coli K12;#NV;;8.0;9.0;1.125;4.0;3.0
155501;insE1-4;511145.b1027;511145.b1027;;511145.b1027;IS3 transposase A;protein;Escherichia coli K12;#NV;;5.0;6.0;1.2;1.0;3.0
155504;insH1-4;511145.b1331;511145.b1331;;511145.b1331;IS5 transposase and trans-activator;protein;Escherichia coli K12;#NV;;7.0;12.0;1.7142857142857142;4.0;2.0
155507;insC1-2;511145.b1403;511145.b1403;;511145.b1403;IS2 repressor TnpA;protein;Escherichia coli K12;#NV;;16.0;56.0;3.5;8.0;7.0
155510;pheM;511145.b1715;511145.b1715;;511145.b1715;phenylalanyl-tRNA synthetase (pheST) operon leader peptide, Protein involved in tRNA aminoacylation for protein translation;protein;Escherichia coli K12;#NV;;13.0;23.0;1.7692307692307692;2.0;10.0
155513;insB1-5;511145.b1893;511145.b1893;;511145.b1893;IS1 transposase B;protein;Escherichia coli K12;#NV;;13.0;56.0;4.3076923076923075;11.0;1.0
155516;insA-4;511145.b1894;511145.b1894;;511145.b1894;IS1 repressor TnpA;protein;Escherichia coli K12;#NV;;13.0;56.0;4.3076923076923075;6.0;6.0
155519;hisL;511145.b2018;511145.b2018;;511145.b2018;His operon leader peptide, Protein involved in histidine biosynthetic process;protein;Escherichia coli K12;#NV;;27.0;81.0;3.0;6.0;20.0
155522;insF1-5;511145.b2089;511145.b2089;;511145.b2089;IS3 transposase B;protein;Escherichia coli K12;#NV;;8.0;9.0;1.125;3.0;4.0
155525;insL1-3;511145.b2394;511145.b2394;;511145.b2394;IS186 transposase;protein;Escherichia coli K12;#NV;;1.0;0.0;0.0;0.0;0.0
155528;pheL;511145.b2598;511145.b2598;;511145.b2598;Leader peptide of chorismate mutase-P-prephenate dehydratase, Protein involved in L-phenylalanine biosynthetic process;protein;Escherichia coli K12;#NV;;50.0;273.0;5.46;5.0;44.0
155531;insC1-4;511145.b2861;511145.b2861;;511145.b2861;IS2 repressor TnpA;protein;Escherichia coli K12;#NV;;16.0;56.0;3.5;7.0;8.0
155534;insD1-5;511145.b3045;511145.b3045;;511145.b3045;IS2 transposase TnpB;protein;Escherichia coli K12;#NV;;15.0;53.0;3.533333333333333;7.0;7.0
155537;insB1-6;511145.b3445;511145.b3445;;511145.b3445;IS1 transposase B;protein;Escherichia coli K12;#NV;;13.0;56.0;4.3076923076923075;9.0;3.0
155540;insD1-6;511145.b4273;511145.b4273;;511145.b4273;IS2 transposase TnpB;protein;Escherichia coli K12;#NV;;15.0;53.0;3.533333333333333;7.0;7.0
155543;hokC;511145.b4412;511145.b4412;;511145.b4412;Small toxic membrane polypeptide, completely contained in another CDS;protein;Escherichia coli K12;#NV;;8.0;13.0;1.625;3.0;4.0
155546;ldrC;511145.b4423;511145.b4423;;511145.b4423;Small toxic polypeptide;protein;Escherichia coli K12;#NV;;13.0;29.0;2.230769230769231;3.0;9.0
155549;insC1-3;511145.b1997;511145.b1997;;511145.b1997;IS2 repressor TnpA;protein;Escherichia coli K12;#NV;;16.0;56.0;3.5;7.0;8.0
155552;insA-7;511145.b4516;511145.b4516;;511145.b4516;IS1 repressor TnpA;protein;Escherichia coli K12;#NV;;13.0;56.0;4.3076923076923075;6.0;6.0
