nodeID,drug_name,x_id,cancer_gene,brite
A0A087WYR3,Dabrafenib,TPD52L2,False,none
A0A0C4DGU3,Venetoclax,HM13,False,none
A0AV96,WEHI-539,RBM47,False,Domain-containing proteins not elsewhere classified
A1L0T0,AC220;Savolitinib,ILVBL,False,Enzymes
A3KMH1,Afatinib;PF-06747775,VWA8,False,Domain-containing proteins not elsewhere classified
A3KN83,AC220,SBNO1,False,Chromosome and associated proteins
A5YKK6,Afatinib;Venetoclax;AZD5582,CNOT1,True,Messenger RNA biogenesis
A6NHR9,Venetoclax,SMCHD1,False,Chromosome and associated proteins
C9J0E9,Afatinib;Savolitinib,PSMD6,False,none
C9J9W1,SB590885;GDC-0879;Dabrafenib;PLX-4720,IL1RAP,False,none
C9JLW8,AC220;Afatinib,MCRIP1,False,none
C9JNT3,Afatinib;PF-06747775;Savolitinib,GSTK1,False,none
D3YTI2,Afatinib;IAP_5620;AZD5582;TGX221;SB590885;IAP_7638;Crizotinib,ACP1,False,none
E9PAV3,Afatinib;AZD5582;PLX-4720;WEHI-539;Crizotinib,NACA,False,none
G3V4M1,PF-06747775;Dabrafenib;PLX-4720,MIA2,False,none
H0Y4K8,Afatinib;GSK269962A;TGX221;PF-06747775;GSK429286A,FN1,True,none
H0Y6T8,SB590885;Dabrafenib,RAB18,False,none
H0YCD9,Afatinib;Dabrafenib;PF-06747775,CTTN,False,none
H0YKX5,WH-4-023;TGX221,TPM1,False,none
J3QKM9,Afatinib;IAP_5620;IAP_7638;AZD5582,VAPA,False,none
K7ENT6,Afatinib;AZD5582;TGX221;IAP_7638;GSK429286A,TPM4,False,none
O00116,SB590885;Afatinib,AGPS,False,Enzymes
O00139,Afatinib;TGX221,KIF2A,False,Chromosome and associated proteins
O00151,SB590885;IAP_7638;AZD5582,PDLIM1,False,Domain-containing proteins not elsewhere classified
O00159,GDC-0879;WH-4-023;Savolitinib;AZD5582;TGX221;Venetoclax;SB590885;Crizotinib,MYO1C,False,Protein phosphatases and associated proteins
O00161,BIX-02188,SNAP23,False,Membrane trafficking
O00165,Ponatinib,HAX1,False,Messenger RNA biogenesis
O00170,GDC-0879,AIP,False,Mitochondrial biogenesis
O00178,SB590885;Afatinib;Lapatinib;Venetoclax,GTPBP1,False,Messenger RNA biogenesis
O00186,SB590885;Ara-G,STXBP3,False,Membrane trafficking
O00203,Dabrafenib;Savolitinib,AP3B1,False,Membrane trafficking
O00217,SB590885;WEHI-539;PF-06747775,NDUFS8,False,Enzymes
O00231,Afatinib;LIMK1 inhibitor BMS4;Savolitinib,PSMD11,False,Proteasome
O00232,Afatinib;PF-06747775;LIMK1 inhibitor BMS4,PSMD12,False,Proteasome
O00233,Afatinib;IAP_7638;AZD5582,PSMD9,False,Proteasome
O00244,GDC-0879;PLX-4720;Dabrafenib;SB590885;LIMK1 inhibitor BMS4,ATOX1,False,none
